ID,TARGET_LifeExpectancy
1,76.15171374332908
2,68.79550949005932
3,58.99535896326768
4,68.04437270130325
5,58.587544447199434
6,62.31847091668885
7,75.47549955926809
8,68.30368308302434
9,54.04633195582426
10,74.638287380169
11,53.29426465134759
12,60.38612263664322
13,59.260569986457654
14,64.76496988427243
15,62.91822672085493
16,62.56368458762188
17,78.88955646718682
18,78.8493000912083
19,79.20273246223769
20,77.86870637962056
21,77.90433228509596
22,76.51789026016218
23,76.40680950087653
24,73.95810261594079
25,74.56460720975713
26,75.39229361038758
27,76.02124704190157
28,75.88136730154815
29,75.13224186027355
30,73.75149730547605
31,74.64185163731167
32,75.15271428276162
33,77.42095744207211
34,74.80053378493744
35,75.38619083587298
36,74.0034746690286
37,77.4074826343458
38,75.26082308171351
39,70.91245653051658
40,74.70668568647295
41,73.836507815976
42,69.21369474268852
43,72.94249175747188
44,71.96482683443924
45,71.61862859577411
46,72.4875684030593
47,75.4380321057663
48,73.91515842729802
49,68.16662067000527
50,66.31436995978243
51,59.40199736495174
52,62.697991941513465
53,64.51241473364234
54,69.58810409958221
55,64.06699785491128
56,65.61364835525387
57,61.04778155863164
58,54.21481662659153
59,57.780353882952454
60,56.28010808068143
61,61.719017016868975
62,62.66322088439608
63,57.80824573299685
64,60.68404387658836
65,68.0266759268477
66,67.28369896844845
67,71.90169392991243
68,74.77943352055661
69,69.5770477267098
70,68.7963799145682
71,69.24382781202667
72,64.52060193605382
73,64.16870672519417
74,65.14192842423631
75,65.29461833150606
76,75.52265350030973
77,66.75533721325371
78,64.8154890160896
79,67.52960047126817
80,73.444025549412
81,67.3694879471741
82,69.86203709993208
83,67.99593840239493
84,68.71326135868185
85,66.82411825639917
86,65.45077454859961
87,68.40926256717762
88,66.48575936287648
89,66.0035761706481
90,65.93240992111782
91,64.89871299519746
92,63.2522468485505
93,64.43494395251207
94,64.64917540998783
95,61.33078264449455
96,65.60483440964629
97,72.42769835004083
98,68.58216903741629
99,48.48392359668662
100,46.50453357662286
101,62.28436822545666
102,68.42564462756343
103,47.35540322231179
104,67.46476588094015
105,65.88551731108112
106,56.49819321820689
107,68.31007457490455
108,64.13726878640455
109,42.880654218069026
110,55.68184657804545
111,43.69455428129061
112,52.557664936989795
113,65.96672030051764
114,73.84224195493618
115,65.43914013012818
116,62.36421790329257
117,68.64749216581095
118,68.51378190244452
119,63.82113250985822
120,67.39554675554098
121,67.857603538288
122,68.017191991294
123,66.37234333044069
124,66.11828522283679
125,64.23311424645567
126,65.82341739188746
127,63.84644623677832
128,67.88263882084789
129,49.8501029994419
130,76.55470849309688
131,59.46241059251133
132,65.04392456435289
133,71.95597634471187
134,64.3275332758376
135,64.28769048086735
136,42.12611599165007
137,51.60173375362115
138,42.61004868356986
139,62.29233776273304
140,49.18161806587477
141,62.73050685472731
